Name,Message,Multiplexing/Group,Type,Startbit,Length [Bit],Byte Order,Value Type,Initial Value,Factor,Offset,Minimum,Maximum,Unit,Value Table,Comment
s_latitude_gps,GPS_Coordinates,-,signal,0,32,Intel,Signed,0,1.00E-07,0,-214.7483648,214.7483647,,<none>,
s_longitud_gps,GPS_Coordinates,-,signal,32,32,Intel,Signed,0,1.00E-07,0,-214.7483648,214.7483647,,<none>,
s_imu_x,IMU_Acceleration,-,signal,0,16,Intel,Signed,0,0.01,0,-327.68,327.67,,<none>,
s_imu_y,IMU_Acceleration,-,signal,16,16,Intel,Signed,0,0.01,0,-327.68,327.67,,<none>,
s_imu_z,IMU_Acceleration,-,signal,32,16,Intel,Signed,0,0.01,0,-327.68,327.67,,<none>,
s_Trq_brake_FL,Motion_Control,-,signal,0,16,Intel,Unsigned,0,0.1,0,0,6553.5,,<none>,
s_Trq_brake_FR,Motion_Control,-,signal,16,16,Intel,Unsigned,0,0.1,0,0,6553.5,,<none>,
s_Trq_brake_RF,Motion_Control,-,signal,32,16,Intel,Unsigned,0,0.1,0,0,6553.5,,<none>,
s_Trq_brake_RL,Motion_Control,-,signal,48,16,Intel,Unsigned,0,0.1,0,0,6553.5,,<none>,
s_steering_angle,Motion_Feedback,-,signal,0,16,Intel,Signed,0,0.05,0,-1638.4,1638.35,,<none>,
s_vehicle_speed,Motion_Feedback,-,signal,16,16,Intel,Unsigned,0,0.01,0,0,655.35,,<none>,
s_tire_friction_FL,MU_Friction,-,signal,0,8,Intel,Unsigned,0,1,0,0,255,,<none>,
s_tire_friction_FR,MU_Friction,-,signal,8,8,Intel,Unsigned,0,1,0,0,255,,<none>,
s_tire_friction_RL,MU_Friction,-,signal,16,8,Intel,Unsigned,0,1,0,0,255,,<none>,
s_tire_friction_RR,MU_Friction,-,signal,24,8,Intel,Unsigned,0,1,0,0,255,,<none>,
s_latitude_traj,TRAJ_Coordinates,-,signal,0,32,Intel,Signed,0,0.0000001,0,-214.7483648,214.7483647,,<none>,
s_longitud_traj,TRAJ_Coordinates,-,signal,32,32,Intel,Signed,0,0.0000001,0,-214.7483648,214.7483647,,<none>,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,types,rolling_counter,,,,,,,,,,,,
,,,checksum,,,,,,,,,,,,
,,,signal,,,,,,,,,,,,
